Entity,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Other Southern Africa,0.05402801,0,0.201567,1.7211,0,0.272050536,0,0.128155862
Pakistan,0.550560568,1.643914155,0.945000989,35.60456848,9.519897536,1.160308548,4.778223629,0.902414327
Peru,0.021773124,0.298797675,1.614181247,31.58605922,0,0.76172576,1.64616197,0.506484708
Philippines,0.729494889,0.146895433,11.77196612,9.657980864,0,1.331099247,1.174914783,0.911414806
Poland,1.910427098,0.733574435,7.347,1.954,0,0.713,15.037,1.344660397
Portugal,0.057652236,0.220645696,3.547,8.74,0,1.275,13.738,0.509545284
Qatar,0,1.478624912,0.114844,0,0,0.008364,0,0.543187537
Romania,0.191566114,0.391853595,0.544858718,15.43260888,11.28,1.734,6.744,0.453322581
Russia,3.628824171,15.99525796,0.520282,194.37614,208.98567,0.98505,0.31481,6.568993437
Saudi Arabia,0.004281774,4.091194309,0,0,0,1.78104239,0,6.924180656
Singapore,0.026147891,0.458679838,0.756488418,0,0,0.19461899,0,3.056358664
Slovakia,0.114193623,0.174630404,1.313717542,4.247,15.48694563,0.589,0.003,0.16995488
Slovenia,0.043059691,0.030841596,0.279409443,4.394370277,5.821258,0.268157,0.006138,0.106341656
South & Central America,1.483349095,5.952721107,87.37219115,714.7033879,24.60672979,17.61784753,79.15824262,11.85534873
South Africa,3.813803893,0.154189703,0.42924867,0.76008314,14.214193,5.26085279,6.93814721,1.183478327
South Korea,3.4363161,2.014813764,14.344663,2.775615,145.989984,12.13291119,2.757888674,5.304121099
Spain,0.210056021,1.299984501,6.278231588,25.23583875,58.43919137,15.04171102,56.17046412,2.719561189
Sri Lanka,0.063040648,0,0.09087606,4.826758202,0,0.368744851,0.36681,0.245187718
Sweden,0.084711116,0.037772488,13.12215686,65.7214171,67.01969297,0.586737667,19.88286231,0.57495607
Switzerland,0.00429,0.122394214,1.761574528,34.70350901,23.03,2.260090278,0.122,0.444318495
Taiwan,1.630499839,0.837353555,1.982753949,5.544223664,32.323432,4.144092368,1.871317961,1.933706469
Thailand,0.713991077,1.829973275,13.72794464,6.309958,0,5.014034535,2.661691796,2.723069644
Trinidad and Tobago,0,0.631505054,0,0,0,0.004669991,0,0.082173458
Turkey,1.69646303,1.55592282,12.71057083,89.15927203,0,10.91957984,21.70398946,2.032382811
Turkmenistan,0,1.135174865,0,0.003154,0,0.00696,0,0.312028241
Ukraine,1.103228166,1.015309735,0.24115674,6.833181048,83.00250165,2.9108388,1.885077013,0.439276851
United Arab Emirates,0.10300571,2.735660971,0.006,0,0,4.168878665,0.001489,1.954334675
United Kingdom,0.262245828,2.838301049,36.55286329,5.958481779,56.18393306,12.67658325,64.13422423,3.105535483
United States,11.34064317,30.47922187,78.33996947,271.158204,852.0097495,108.3585859,303.1020495,36.98803904
Uzbekistan,0.07269605,1.562881879,0,6.5,0,0.003811111,0,0.090132951
Venezuela,0.003160863,0.952409269,0,63.26721639,0,0.011831785,0.147866663,0.705857555
Vietnam,2.069962761,0.354698874,0.076454,65.5633478,0,4.1808,0.490907516,1.06769679
Western Africa,0.038340841,0.862602012,0.369527,19.1405642,0,0.783807841,0.189482201,1.512364273
